Dataset,k,L,K,T,RATIO,RECALL,AVG_TIME,COST,DATE
audio,60,2,18,24,1.00013,0.994667,0.32226,0.0256148,1322.86,
audio,70,2,18,24,1.00014,0.994714,0.37384,0.0264814,1322.86,
audio,80,2,18,24,1.00014,0.99475,0.38306,0.0273311,1322.86,
audio,90,2,18,24,1.00015,0.994222,0.38891,0.0282051,1322.86,
audio,100,2,18,24,1.00015,0.9944,0.37338,0.0290811,1322.86,
audio,100,2,18,0,1.00021,0.9914,0.29834,0.0262805,1322.86,
audio,50,2,18,0,1.00011,0.9948,0.31215,0.0263353,1322.86,
audio,1,2,18,24,1,1,0.26734,0.0204038,1322.86,
audio,10,2,18,24,1.00011,0.997,0.31625,0.0211979,1322.86,
audio,20,2,18,24,1.00014,0.9935,0.28235,0.0221278,1322.86,
audio,30,2,18,24,1.00015,0.994,0.30903,0.0230402,1322.86,
audio,40,2,18,24,1.00017,0.9935,0.34377,0.0239236,1322.86,
audio,50,2,18,24,1.00017,0.9938,0.34767,0.0248168,1322.86,
audio,60,2,18,24,1.00015,0.994333,0.34937,0.0256766,1322.86,
audio,70,2,18,24,1.00016,0.994429,0.35791,0.0265433,1322.86,
audio,80,2,18,24,1.00016,0.99475,0.38809,0.0273678,1322.86,
audio,90,2,18,24,1.00016,0.994444,0.36603,0.0282337,1322.86,
audio,100,2,18,24,1.00016,0.9946,0.37276,0.0291326,1322.86,
audio,100,2,18,0,1.00028,0.9906,0.29457,0.0263853,1322.86,
audio,1,2,18,24,1,1,0.26804,0.0203767,1322.86,
audio,10,2,18,24,1.00004,0.999,0.28246,0.0212091,1322.86,
audio,20,2,18,24,1.00007,0.9955,0.30454,0.0221203,1322.86,
audio,30,2,18,24,1.0001,0.995667,0.30685,0.0230275,1322.86,
audio,40,2,18,24,1.00011,0.995,0.28689,0.0239412,1322.86,
audio,50,2,18,24,1.00011,0.9942,0.27432,0.02482,1322.86,
audio,60,2,18,24,1.00012,0.994333,0.363,0.0256864,1322.86,
audio,70,2,18,24,1.00013,0.994429,0.35047,0.0265377,1322.86,
audio,80,2,18,24,1.00013,0.994375,0.34488,0.0274038,1322.86,
audio,90,2,18,24,1.00013,0.994111,0.36816,0.0282959,1322.86,
audio,100,2,18,24,1.00013,0.9945,0.38176,0.0291594,1322.86,
audio,100,2,18,0,1.00024,0.9894,0.28233,0.0263742,1322.86,
audio,1,2,18,24,1,1,0.27052,0.0203641,1322.86,
audio,10,2,18,24,1.00005,0.998,0.29051,0.0211905,1322.86,
audio,20,2,18,24,1.00007,0.996,0.26418,0.0220852,1322.86,
audio,30,2,18,24,1.00011,0.995333,0.29447,0.0230155,1322.86,
audio,40,2,18,24,1.00013,0.995,0.31199,0.0239055,1322.86,
audio,50,2,18,24,1.00016,0.9934,0.32172,0.0247585,1322.86,
audio,60,2,18,24,1.00017,0.993667,0.34722,0.0256538,1322.86,
audio,70,2,18,24,1.00017,0.993571,0.36584,0.0265394,1322.86,
audio,80,2,18,24,1.00013,0.99425,0.34389,0.0273663,1322.86,
audio,90,2,18,24,1.00014,0.993333,0.35669,0.0282618,1322.86,
audio,100,2,18,24,1.00015,0.9932,0.37785,0.0291085,1322.86,
audio,100,2,18,0,1.00027,0.9894,0.31039,0.0263118,1322.86,
audio,50,2,18,0,1.00007,0.9952,0.29942,0.0263386,1322.86,
audio,1,2,18,24,1,1,0.25453,0.0203403,1322.86,
audio,10,2,18,24,1.00001,0.999,0.26235,0.0211375,1322.86,
audio,20,2,18,24,1.00004,0.996,0.35176,0.0220429,1322.86,
audio,30,2,18,24,1.00009,0.995,0.28652,0.0229669,1322.86,
audio,40,2,18,24,1.00011,0.995,0.31265,0.0238494,1322.86,
audio,50,2,18,24,1.00014,0.9938,0.32547,0.024719,1322.86,
audio,60,2,18,24,1.00015,0.9945,0.3319,0.0256087,1322.86,
audio,70,2,18,24,1.00015,0.994286,0.34205,0.0264755,1322.86,
audio,80,2,18,24,1.00014,0.99475,0.34387,0.0273259,1322.86,
audio,90,2,18,24,1.00014,0.994444,0.36441,0.0282077,1322.86,
audio,100,2,18,24,1.00014,0.9945,0.36839,0.0290754,1322.86,
audio,100,2,18,0,1.00028,0.99,0.28345,0.0263142,1322.86,
audio,1,2,18,24,1,1,0.30293,0.0203995,1322.86,
audio,10,2,18,24,1.00009,0.996,0.30092,0.0212091,1322.86,
audio,20,2,18,24,1.00013,0.994,0.31479,0.0221171,1322.86,
audio,30,2,18,24,1.00016,0.994,0.31023,0.023031,1322.86,
audio,40,2,18,24,1.00016,0.99425,0.29765,0.0239504,1322.86,
audio,50,2,18,24,1.00016,0.994,0.34107,0.0248218,1322.86,
audio,60,2,18,24,1.00016,0.994,0.33626,0.0256818,1322.86,
audio,70,2,18,24,1.00018,0.993429,0.34856,0.0265396,1322.86,
audio,80,2,18,24,1.00019,0.993625,0.33637,0.0273981,1322.86,
audio,90,2,18,24,1.00018,0.993333,0.37336,0.0282846,1322.86,
audio,100,2,18,24,1.00015,0.9944,0.37084,0.029148,1322.86,
audio,100,2,18,0,1.00028,0.99,0.2851,0.0263368,1322.86,
audio,1,2,18,24,1,1,0.287,0.0203388,1322.86,
audio,10,2,18,24,1,1,0.26965,0.0211414,1322.86,
audio,20,2,18,24,1.00004,0.996,0.30114,0.0220737,1322.86,
audio,30,2,18,24,1.00008,0.996,0.29693,0.023009,1322.86,
audio,40,2,18,24,1.0001,0.99475,0.32804,0.0238825,1322.86,
audio,50,2,18,24,1.00013,0.9938,0.34713,0.0247426,1322.86,
audio,60,2,18,24,1.00015,0.994167,0.33649,0.0256344,1322.86,
audio,70,2,18,24,1.00015,0.994,0.36034,0.0265132,1322.86,
audio,80,2,18,24,1.00017,0.993875,0.36079,0.02734,1322.86,
audio,90,2,18,24,1.00017,0.992889,0.39877,0.0282381,1322.86,
audio,100,2,18,24,1.00018,0.993,0.36943,0.0290832,1322.86,
audio,100,2,18,0,1.00029,0.9896,0.2927,0.0263606,1322.86,
audio,50,2,18,0,1.00014,0.9928,0.31817,0.0262895,1322.86,
audio,1,2,18,24,1,1,0.26943,0.0203503,1322.86,
audio,10,2,18,24,1.00006,0.998,0.27674,0.0211816,1322.86,
audio,20,2,18,24,1.00008,0.995,0.29776,0.0220822,1322.86,
audio,30,2,18,24,1.00008,0.995333,0.2947,0.0230164,1322.86,
audio,40,2,18,24,1.00011,0.99475,0.30196,0.0239096,1322.86,
audio,50,2,18,24,1.00013,0.9938,0.31841,0.0247862,1322.86,
audio,60,2,18,24,1.00014,0.994333,0.33212,0.0256344,1322.86,
audio,70,2,18,24,1.00014,0.994714,0.33097,0.0264955,1322.86,
audio,80,2,18,24,1.00015,0.99425,0.34649,0.027349,1322.86,
audio,90,2,18,24,1.00016,0.993556,0.39266,0.0282291,1322.86,
audio,100,2,18,24,1.00015,0.9942,0.36274,0.029085,1322.86,
audio,100,2,18,0,1.00025,0.9905,0.34986,0.0262633,1322.86,
audio,1,2,18,24,1,1,0.25362,0.0203257,1322.88,
audio,10,2,18,24,1.00004,0.998,0.24185,0.0211324,1322.88,
audio,20,2,18,24,1.00006,0.9965,0.25959,0.0220623,1322.88,
audio,30,2,18,24,1.00006,0.996667,0.27087,0.0229777,1322.88,
audio,40,2,18,24,1.00008,0.996,0.27864,0.0238762,1322.88,
audio,50,2,18,24,1.0001,0.9944,0.30005,0.024738,1322.88,
audio,60,2,18,24,1.00011,0.9945,0.29916,0.0256096,1322.88,
audio,70,2,18,24,1.00012,0.994286,0.32502,0.0264717,1322.88,
audio,80,2,18,24,1.00011,0.99525,0.30013,0.0273438,1322.88,
audio,90,2,18,24,1.00012,0.994333,0.31499,0.0282234,1322.88,
audio,100,2,18,24,1.00013,0.9947,0.33804,0.0290944,1322.88,
audio,100,2,18,0,1.00022,0.9907,0.26774,0.0262978,1322.88,
audio,1,2,18,24,1,1,0.2439,0.0204016,1322.88,
audio,10,2,18,24,1.00005,0.998,0.24112,0.0212317,1322.88,
audio,20,2,18,24,1.00008,0.996,0.24331,0.0221651,1322.88,
audio,30,2,18,24,1.00011,0.996,0.28465,0.0230701,1322.88,
audio,40,2,18,24,1.00013,0.99425,0.26677,0.0239635,1322.88,
audio,50,2,18,24,1.00016,0.9932,0.28917,0.024834,1322.88,
audio,60,2,18,24,1.00016,0.994333,0.31281,0.0257102,1322.88,
audio,70,2,18,24,1.00017,0.993714,0.31134,0.0265708,1322.88,
audio,80,2,18,24,1.00018,0.994,0.32994,0.0274149,1322.88,
audio,90,2,18,24,1.00015,0.994222,0.33303,0.0282907,1322.88,
audio,100,2,18,24,1.00015,0.9942,0.33706,0.0291489,1322.88,
audio,100,2,18,0,1.00028,0.9896,0.26804,0.0263971,1322.88,
audio,1,2,18,24,1,1,0.21741,0.0203444,1322.9,
audio,10,2,18,24,1.00002,0.999,0.25093,0.0211625,1322.9,
audio,20,2,18,24,1.00006,0.995,0.24991,0.0220833,1322.9,
audio,30,2,18,24,1.0001,0.996,0.28978,0.0230107,1322.9,
audio,40,2,18,24,1.00012,0.995,0.26362,0.0239081,1322.9,
audio,50,2,18,24,1.00013,0.9938,0.27334,0.0247639,1322.9,
audio,60,2,18,24,1.00013,0.994833,0.30139,0.0256669,1322.9,
audio,70,2,18,24,1.00013,0.994429,0.30746,0.0265628,1322.9,
audio,80,2,18,24,1.00014,0.994375,0.32511,0.0273972,1322.9,
audio,90,2,18,24,1.00014,0.994111,0.30946,0.0282941,1322.9,
audio,100,2,18,24,1.00013,0.9945,0.33972,0.0291444,1322.9,
audio,100,2,18,0,1.00026,0.9899,0.26592,0.026362,1322.9,
audio,1,2,18,24,1,1,0.36244,0.0202665,1322.99,
audio,10,2,18,24,1.00002,0.999,0.35288,0.0210816,1322.99,
audio,20,2,18,24,1.00006,0.996,0.37133,0.0219783,1322.99,
audio,30,2,18,24,1.00006,0.996667,0.41281,0.0229232,1322.99,
audio,40,2,18,24,1.00008,0.99575,0.44245,0.0238216,1322.99,
audio,50,2,18,24,1.00011,0.994,0.45838,0.0246886,1322.99,
audio,60,2,18,24,1.00013,0.994,0.45623,0.0255714,1322.99,
audio,70,2,18,24,1.00013,0.994714,0.46262,0.0264277,1322.99,
audio,80,2,18,24,1.00013,0.994375,0.45366,0.0272759,1322.99,
audio,90,2,18,24,1.00014,0.994222,0.47337,0.0281442,1322.99,
audio,100,2,18,24,1.00013,0.9947,0.49921,0.0290507,1322.99,
audio,100,2,18,0,1.00026,0.9898,0.42299,0.0262666,1322.99,
audio,50,2,18,0,1.00016,0.9936,0.39163,0.0263962,1322.99,
audio,1,2,18,24,1,1,0.43351,0.0203678,1323,
audio,10,2,18,24,1.00005,0.999,0.42306,0.0212034,1323,
audio,20,2,18,24,1.00008,0.9955,0.42192,0.0220922,1323,
audio,30,2,18,24,1.00011,0.995333,0.49029,0.0230347,1323,
audio,40,2,18,24,1.00009,0.9955,0.49586,0.0239332,1323,
audio,50,2,18,24,1.00012,0.9946,0.49698,0.0248152,1323,
audio,60,2,18,24,1.00012,0.995333,0.48875,0.0256934,1323,
audio,70,2,18,24,1.00011,0.995143,0.63312,0.0265418,1323,
audio,80,2,18,24,1.00011,0.995,0.55875,0.0273634,1323,
audio,90,2,18,24,1.00011,0.994778,0.62434,0.0282673,1323,
audio,100,2,18,24,1.00012,0.9944,0.55245,0.0291238,1323,
audio,100,2,18,0,1.00021,0.9904,0.3871,0.0263703,1323,
audio,1,2,18,24,1,1,0.46869,0.020358,1323,
audio,10,2,18,24,1.00005,0.999,0.38467,0.0211586,1323,
audio,20,2,18,24,1.00009,0.995,0.40418,0.0220599,1323,
audio,30,2,18,24,1.00012,0.994667,0.50082,0.022997,1323,
audio,40,2,18,24,1.00013,0.99475,0.42535,0.0238745,1323,
audio,50,2,18,24,1.00015,0.994,0.54468,0.0247377,1323,
audio,60,2,18,24,1.00015,0.994333,0.45055,0.0256272,1323,
audio,70,2,18,24,1.00016,0.994571,0.47048,0.0264844,1323,
audio,80,2,18,24,1.00015,0.995125,0.51948,0.027323,1323,
audio,90,2,18,24,1.00017,0.994333,0.56738,0.0281806,1323,
