Dataset,k,L,K,T,RATIO,RECALL,AVG_TIME,COST,DATE
audio,20,2,18,24,1.00009,0.995,0.45541,0.0220863,1324.42,
audio,30,2,18,24,1.00012,0.995333,0.40451,0.023009,1324.42,
audio,40,2,18,24,1.00014,0.9945,0.4313,0.0239198,1324.42,
audio,50,2,18,24,1.00013,0.9936,0.42846,0.0247988,1324.42,
audio,60,2,18,24,1.00015,0.993833,0.44035,0.0256506,1324.42,
audio,70,2,18,24,1.00016,0.994143,0.50435,0.0265398,1324.42,
audio,80,2,18,24,1.00017,0.9945,0.46754,0.0274104,1324.42,
audio,90,2,18,24,1.00017,0.993889,0.50283,0.0282675,1324.42,
audio,100,2,18,24,1.00017,0.9941,0.587,0.029133,1324.42,
audio,100,2,18,0,1.00025,0.9905,0.40072,0.026329,1324.42,
audio,1,2,18,24,1,1,0.33883,0.0203684,1324.42,
audio,10,2,18,24,1.00004,0.999,0.52406,0.0212042,1324.42,
audio,20,2,18,24,1.00007,0.995,0.39244,0.0220972,1324.42,
audio,30,2,18,24,1.00011,0.994667,0.39411,0.0230469,1324.42,
audio,40,2,18,24,1.00012,0.99475,0.43434,0.0239329,1324.42,
audio,50,2,18,24,1.00014,0.994,0.40597,0.0248089,1324.42,
audio,60,2,18,24,1.00015,0.994833,0.43794,0.0256798,1324.42,
audio,70,2,18,24,1.00015,0.994429,0.5999,0.0265473,1324.42,
audio,80,2,18,24,1.00016,0.994625,0.41138,0.0273774,1324.42,
audio,90,2,18,24,1.00013,0.994111,0.44965,0.0282385,1324.42,
audio,100,2,18,24,1.00013,0.9945,0.48041,0.0291317,1324.42,
audio,100,2,18,0,1.00028,0.9897,0.38839,0.0263759,1324.42,
audio,1,2,18,24,1.0006,0.99,0.32755,0.0203781,1324.42,
audio,10,2,18,24,1.00022,0.997,0.32083,0.0211994,1324.42,
audio,20,2,18,24,1.00017,0.996,0.32281,0.0221073,1324.42,
audio,30,2,18,24,1.00017,0.994667,0.33843,0.0230557,1324.42,
audio,40,2,18,24,1.00019,0.99375,0.34802,0.0239327,1324.42,
audio,50,2,18,24,1.00021,0.9926,0.38671,0.0247908,1324.42,
audio,60,2,18,24,1.00021,0.993667,0.39115,0.0256704,1324.42,
audio,70,2,18,24,1.0002,0.994143,0.4306,0.0265381,1324.42,
audio,80,2,18,24,1.00021,0.994125,0.46133,0.027401,1324.42,
audio,90,2,18,24,1.0002,0.993778,0.57598,0.0282699,1324.42,
audio,100,2,18,24,1.00021,0.9937,0.55128,0.0291223,1324.42,
audio,100,2,18,0,1.00029,0.9898,0.3774,0.0263235,1324.42,
audio,50,2,18,0,1.00017,0.9934,0.38098,0.0263572,1324.42,
audio,1,2,18,24,1,1,0.34738,0.0203536,1324.42,
audio,10,2,18,24,1.00003,0.998,0.36816,0.0211473,1324.42,
audio,20,2,18,24,1.00006,0.9955,0.46217,0.0220948,1324.42,
audio,30,2,18,24,1.0001,0.995333,0.43903,0.0230018,1324.42,
audio,40,2,18,24,1.00012,0.9945,0.44113,0.0238947,1324.42,
audio,50,2,18,24,1.00014,0.9936,0.46608,0.0247735,1324.42,
audio,60,2,18,24,1.00015,0.993833,0.43302,0.0256416,1324.42,
audio,70,2,18,24,1.00017,0.993429,0.52534,0.0265132,1324.42,
audio,80,2,18,24,1.00017,0.993875,0.4739,0.0273937,1324.42,
audio,90,2,18,24,1.00017,0.993333,0.5101,0.028256,1324.42,
audio,100,2,18,24,1.00016,0.9937,0.49447,0.0291315,1324.42,
audio,100,2,18,0,1.00028,0.9899,0.38633,0.02627,1324.42,
audio,1,2,18,24,1,1,0.41802,0.0203641,1324.44,
audio,10,2,18,24,1,1,0.45581,0.021194,1324.44,
audio,20,2,18,24,1.00003,0.9975,0.41731,0.0221162,1324.44,
audio,30,2,18,24,1.00005,0.996667,0.45091,0.0230744,1324.44,
audio,40,2,18,24,1.00008,0.9955,0.4276,0.0239807,1324.44,
audio,50,2,18,24,1.00009,0.9946,0.47148,0.0248104,1324.44,
audio,60,2,18,24,1.00011,0.994667,0.44531,0.0256982,1324.44,
audio,70,2,18,24,1.00011,0.994714,0.48414,0.0265313,1324.44,
audio,80,2,18,24,1.00012,0.99475,0.49477,0.0273828,1324.44,
audio,90,2,18,24,1.00013,0.994,0.60443,0.0282435,1324.44,
audio,100,2,18,24,1.00011,0.9941,0.62647,0.0291348,1324.44,
audio,100,2,18,0,1.00023,0.9899,0.46102,0.0263491,1324.44,
audio,1,2,18,24,1,1,0.41955,0.0203279,1324.44,
audio,10,2,18,24,1.00005,0.998,0.41737,0.0211375,1324.44,
audio,20,2,18,24,1.0001,0.996,0.46393,0.0220562,1324.44,
audio,30,2,18,24,1.00012,0.996,0.57403,0.0230033,1324.44,
audio,40,2,18,24,1.00013,0.995,0.47531,0.0239133,1324.44,
audio,50,2,18,24,1.00014,0.9942,0.56151,0.0247845,1324.44,
audio,60,2,18,24,1.00014,0.994333,0.45688,0.0256525,1324.44,
audio,70,2,18,24,1.00012,0.994714,0.54162,0.026546,1324.44,
audio,80,2,18,24,1.00012,0.99475,0.52053,0.0273933,1324.44,
audio,90,2,18,24,1.00013,0.993889,0.51925,0.0282754,1324.44,
audio,100,2,18,24,1.00013,0.9937,0.68823,0.0291476,1324.44,
audio,100,2,18,0,1.00027,0.9891,0.52734,0.0264032,1324.44,
audio,50,2,18,0,1.00017,0.9932,0.44734,0.026267,1324.44,
audio,1,2,18,24,1,1,0.41362,0.020358,1324.44,
audio,10,2,18,24,1.00002,0.999,0.40397,0.0211912,1324.44,
audio,20,2,18,24,1.00004,0.996,0.39458,0.022078,1324.44,
audio,30,2,18,24,1.00008,0.996333,0.40992,0.0230015,1324.44,
audio,40,2,18,24,1.00009,0.99625,0.45521,0.0238987,1324.44,
audio,50,2,18,24,1.00011,0.9956,0.45774,0.024727,1324.44,
audio,60,2,18,24,1.0001,0.9955,0.57979,0.0256054,1324.44,
audio,70,2,18,24,1.0001,0.995429,0.5297,0.0264717,1324.44,
audio,80,2,18,24,1.00011,0.995,0.53753,0.0272848,1324.44,
audio,90,2,18,24,1.00013,0.994111,0.53766,0.0281571,1324.44,
audio,100,2,18,24,1.00014,0.9943,0.5389,0.0290258,1324.44,
audio,100,2,18,0,1.0002,0.9912,0.44998,0.0262954,1324.44,
audio,1,2,18,24,1,1,0.4017,0.0203416,1324.44,
audio,10,2,18,24,1.00004,0.999,0.40387,0.0211848,1324.44,
audio,20,2,18,24,1.00007,0.995,0.39674,0.0220665,1324.44,
audio,30,2,18,24,1.00008,0.996,0.45381,0.0230022,1324.44,
audio,40,2,18,24,1.00011,0.9945,0.45141,0.0238908,1324.44,
audio,50,2,18,24,1.00012,0.9938,0.48734,0.0247342,1324.44,
audio,60,2,18,24,1.00014,0.993833,0.47195,0.0255903,1324.44,
audio,70,2,18,24,1.00015,0.994143,0.49214,0.0264794,1324.44,
audio,80,2,18,24,1.00014,0.994625,0.54447,0.0273322,1324.44,
audio,90,2,18,24,1.00014,0.994222,0.53342,0.0282141,1324.44,
audio,100,2,18,24,1.00013,0.9941,0.52413,0.0290904,1324.44,
audio,100,2,18,0,1.00028,0.9896,0.4387,0.0263225,1324.44,
audio,1,2,18,24,1.0006,0.99,0.40907,0.0202659,1324.44,
audio,10,2,18,24,1.00021,0.998,0.4136,0.0211008,1324.44,
audio,20,2,18,24,1.00004,0.998,0.41081,0.0219986,1324.44,
audio,30,2,18,24,1.00003,0.997333,0.44719,0.0229245,1324.44,
audio,40,2,18,24,1.00005,0.99625,0.45759,0.0238085,1324.44,
audio,50,2,18,24,1.00007,0.995,0.54632,0.0246598,1324.44,
audio,60,2,18,24,1.00009,0.994667,0.50417,0.0255449,1324.44,
audio,70,2,18,24,1.0001,0.994571,0.50861,0.0264499,1324.44,
audio,80,2,18,24,1.00011,0.994625,0.4955,0.027275,1324.44,
audio,90,2,18,24,1.00012,0.993667,0.53239,0.0281702,1324.44,
audio,100,2,18,24,1.00012,0.9942,0.52952,0.0290311,1324.44,
audio,100,2,18,0,1.00026,0.9886,0.39375,0.0262497,1324.44,
audio,50,2,18,0,1.00016,0.993,0.44849,0.0263388,1324.44,
audio,1,2,18,24,1,1,0.41014,0.0203669,1324.45,
audio,10,2,18,24,1.00002,0.998,0.47086,0.0212045,1324.45,
audio,20,2,18,24,1.00005,0.997,0.50682,0.0221142,1324.45,
audio,30,2,18,24,1.00007,0.996,0.51182,0.023033,1324.45,
audio,40,2,18,24,1.00009,0.995,0.46336,0.0239231,1324.45,
audio,50,2,18,24,1.00011,0.994,0.49053,0.024782,1324.45,
audio,60,2,18,24,1.00011,0.994833,0.45609,0.0256672,1324.45,
audio,70,2,18,24,1.00012,0.995143,0.50628,0.026527,1324.45,
audio,80,2,18,24,1.00011,0.99475,0.53612,0.0273529,1324.45,
audio,90,2,18,24,1.0001,0.994111,0.51921,0.0282448,1324.45,
audio,100,2,18,24,1.00011,0.9944,0.50332,0.02914,1324.45,
audio,100,2,18,0,1.00027,0.9892,0.39681,0.0263083,1324.45,
audio,1,2,18,24,1,1,0.39861,0.02037,1324.45,
audio,10,2,18,24,1.00007,0.998,0.39073,0.0211876,1324.45,
audio,20,2,18,24,1.00008,0.995,0.45365,0.0221001,1324.45,
audio,30,2,18,24,1.00011,0.995,0.49349,0.0229978,1324.45,
audio,40,2,18,24,1.00013,0.9955,0.44752,0.0239406,1324.45,
audio,50,2,18,24,1.00016,0.9944,0.71474,0.0247958,1324.45,
audio,60,2,18,24,1.00017,0.994667,0.5727,0.0256702,1324.45,
audio,70,2,18,24,1.00016,0.994857,0.55869,0.0265595,1324.45,
audio,80,2,18,24,1.00016,0.9945,0.51109,0.0273909,1324.45,
audio,90,2,18,24,1.00017,0.993667,0.57439,0.0282573,1324.45,
audio,100,2,18,24,1.00017,0.9938,0.56155,0.0291302,1324.45,
audio,100,2,18,0,1.00031,0.9898,0.42009,0.0262314,1324.45,
audio,1,2,18,24,1,1,0.41883,0.0203647,1324.45,
audio,10,2,18,24,1.00004,0.999,0.40579,0.0211682,1324.45,
audio,20,2,18,24,1.00009,0.9955,0.46164,0.0221112,1324.45,
audio,30,2,18,24,1.00012,0.995333,0.40944,0.0230437,1324.45,
audio,40,2,18,24,1.00013,0.994,0.45516,0.0239179,1324.45,
audio,50,2,18,24,1.00014,0.995,0.47128,0.0247742,1324.45,
audio,60,2,18,24,1.00013,0.994833,0.49659,0.0256478,1324.45,
audio,70,2,18,24,1.00014,0.994286,0.46792,0.0265034,1324.45,
audio,80,2,18,24,1.00015,0.994375,0.52135,0.027332,1324.45,
audio,90,2,18,24,1.00016,0.994,0.5452,0.0281874,1324.45,
audio,100,2,18,24,1.00015,0.994,0.52982,0.0290457,1324.45,
audio,100,2,18,0,1.00026,0.9905,0.44969,0.026339,1324.45,
audio,50,2,18,0,1.00023,0.9912,0.47416,0.0263048,1324.45,
audio,1,2,18,24,1,1,0.4129,0.0203676,1324.45,
audio,10,2,18,24,1.00006,0.998,0.41315,0.0211868,1324.45,
audio,20,2,18,24,1.00006,0.997,0.43844,0.0220976,1324.45,
audio,30,2,18,24,1.00008,0.997,0.51592,0.0230092,1324.45,
audio,40,2,18,24,1.00009,0.99575,0.56444,0.023903,1324.45,
audio,50,2,18,24,1.00012,0.9946,0.47012,0.0247834,1324.45,
audio,60,2,18,24,1.00012,0.994667,0.54032,0.0256539,1324.45,
audio,70,2,18,24,1.00013,0.994429,0.53699,0.0265089,1324.45,
audio,80,2,18,24,1.00013,0.995,0.55354,0.0273818,1324.45,
audio,90,2,18,24,1.00014,0.994333,0.66409,0.0282527,1324.45,
audio,100,2,18,24,1.00014,0.9942,0.56898,0.0291223,1324.45,
audio,100,2,18,0,1.00023,0.9905,0.45108,0.0263154,1324.45,
audio,1,2,18,24,1,1,0.39437,0.0203445,1324.45,
audio,10,2,18,24,1.00007,0.998,0.41709,0.0211815,1324.45,
audio,20,2,18,24,1.00009,0.9965,0.45267,0.0220961,1324.45,
audio,30,2,18,24,1.00011,0.995,0.59727,0.0230404,1324.45,
audio,40,2,18,24,1.00014,0.9945,0.47572,0.0239122,1324.45,
audio,50,2,18,24,1.00016,0.9936,0.45007,0.0247727,1324.45,
audio,60,2,18,24,1.00016,0.9945,0.60506,0.0256451,1324.45,
audio,70,2,18,24,1.00015,0.994286,0.52835,0.0265088,1324.45,
audio,80,2,18,24,1.00014,0.99475,0.51166,0.0273403,1324.45,
audio,90,2,18,24,1.00016,0.993556,0.53866,0.028228,1324.45,
audio,100,2,18,24,1.00017,0.994,0.64463,0.0291125,1324.45,
audio,100,2,18,0,1.00025,0.9907,0.47784,0.0262982,1324.45,
audio,1,2,18,24,1,1,0.43569,0.0204145,1324.45,
audio,10,2,18,24,1.00001,0.999,0.40914,0.0212335,1324.45,
audio,20,2,18,24,1.00002,0.996,0.4222,0.0221322,1324.45,
audio,30,2,18,24,1.00008,0.994667,0.4506,0.0230684,1324.45,
audio,40,2,18,24,1.00011,0.994,0.46158,0.0239738,1324.45,
audio,50,2,18,24,1.00015,0.9934,0.57868,0.024822,1324.45,
audio,60,2,18,24,1.00015,0.994,0.5475,0.0256877,1324.45,
audio,70,2,18,24,1.00015,0.994,0.5799,0.0265698,1324.45,
audio,80,2,18,24,1.00015,0.99375,0.51573,0.0274236,1324.45,
audio,90,2,18,24,1.00015,0.993889,0.51988,0.028297,1324.45,
audio,100,2,18,24,1.00015,0.9942,0.60196,0.0291756,1324.45,
audio,100,2,18,0,1.00027,0.9903,0.44128,0.0263395,1324.45,
audio,50,2,18,0,1.00013,0.9942,0.43682,0.0263502,1324.45,
audio,1,2,18,24,1,1,0.42028,0.0203898,1324.45,
audio,10,2,18,24,1.00012,0.997,0.43278,0.0211929,1324.45,
audio,20,2,18,24,1.00012,0.9955,0.42233,0.0221047,1324.45,
audio,30,2,18,24,1.00013,0.995333,0.486,0.023016,1324.45,
audio,40,2,18,24,1.00014,0.99575,0.52867,0.0239177,1324.45,
audio,50,2,18,24,1.00015,0.9948,0.48284,0.0247816,1324.45,
audio,60,2,18,24,1.00012,0.994833,0.49218,0.0256427,1324.45,
audio,70,2,18,24,1.00012,0.994571,0.49475,0.0265335,1324.45,
audio,80,2,18,24,1.00014,0.994125,0.51091,0.027359,1324.45,
audio,90,2,18,24,1.00015,0.994111,0.53889,0.0282317,1324.45,
audio,100,2,18,24,1.00014,0.9947,0.53109,0.0290644,1324.45,
audio,100,2,18,0,1.00027,0.99,0.40371,0.0263091,1324.45,
audio,1,2,18,24,1,1,0.42848,0.0202862,1324.45,
audio,10,2,18,24,1.00006,0.998,0.63007,0.0211028,1324.45,
audio,20,2,18,24,1.0001,0.995,0.52835,0.0219983,1324.45,
audio,30,2,18,24,1.00013,0.994667,0.42969,0.0229134,1324.45,
audio,40,2,18,24,1.00014,0.99475,0.45612,0.0237992,1324.45,
audio,50,2,18,24,1.00015,0.9948,0.5072,0.024657,1324.45,
audio,60,2,18,24,1.00016,0.994833,0.51283,0.0255438,1324.45,
audio,70,2,18,24,1.00014,0.994714,0.55282,0.0263984,1324.45,
audio,80,2,18,24,1.00013,0.995,0.50139,0.027268,1324.45,
audio,90,2,18,24,1.00015,0.993889,0.54123,0.0281499,1324.45,
audio,100,2,18,24,1.00013,0.9947,0.58155,0.0289909,1324.45,
audio,100,2,18,0,1.00025,0.9908,0.4422,0.0262327,1324.45,
audio,1,2,18,24,1.0006,0.99,0.41074,0.0203746,1324.45,
audio,10,2,18,24,1.00024,0.996,0.40212,0.0212005,1324.45,
audio,20,2,18,24,1.00022,0.994,0.42839,0.0221121,1324.45,
audio,30,2,18,24,1.0002,0.994,0.42825,0.0230481,1324.45,
audio,40,2,18,24,1.0002,0.9945,0.42524,0.0239408,1324.45,
audio,50,2,18,24,1.00022,0.9932,0.50317,0.0248082,1324.45,
audio,60,2,18,24,1.0002,0.994167,0.49993,0.0257082,1324.45,
audio,70,2,18,24,1.00019,0.994286,0.53819,0.0265497,1324.45,
audio,80,2,18,24,1.00019,0.99425,0.49535,0.0273951,1324.45,
audio,90,2,18,24,1.00019,0.993778,0.49181,0.0282732,1324.45,
audio,100,2,18,24,1.00018,0.9943,0.52097,0.0291424,1324.45,
audio,100,2,18,0,1.00034,0.9894,0.4328,0.0263471,1324.45,
audio,50,2,18,0,1.00015,0.9938,0.43925,0.0263214,1324.45,
audio,1,2,18,24,1,1,0.43564,0.0203115,1324.45,
audio,10,2,18,24,1.00002,0.999,0.42428,0.0211231,1324.45,
audio,20,2,18,24,1.00009,0.993,0.4009,0.0220112,1324.45,
audio,30,2,18,24,1.00011,0.995,0.40768,0.022928,1324.45,
audio,40,2,18,24,1.00012,0.99575,0.44059,0.0238375,1324.45,
audio,50,2,18,24,1.00012,0.9944,0.45038,0.0247235,1324.45,
audio,60,2,18,24,1.00013,0.9945,0.46576,0.0256115,1324.45,
audio,70,2,18,24,1.00013,0.994429,0.53644,0.0264931,1324.45,
audio,80,2,18,24,1.00014,0.99425,0.53992,0.0273197,1324.45,
audio,90,2,18,24,1.00015,0.994444,0.68667,0.0281959,1324.45,
audio,100,2,18,24,1.00014,0.9945,0.57378,0.0290913,1324.45,
audio,100,2,18,0,1.00025,0.9896,0.3946,0.0262875,1324.45,
audio,1,2,18,24,1,1,0.40103,0.0203732,1324.45,
audio,10,2,18,24,1,1,0.45492,0.0211887,1324.45,
audio,20,2,18,24,1.00005,0.9955,0.52374,0.0220985,1324.45,
audio,30,2,18,24,1.0001,0.995,0.40397,0.0230457,1324.45,
audio,40,2,18,24,1.00012,0.9955,0.45514,0.023927,1324.45,
audio,50,2,18,24,1.00014,0.9942,0.54744,0.0248069,1324.45,
audio,60,2,18,24,1.00012,0.995333,0.64497,0.025656,1324.45,
audio,70,2,18,24,1.00013,0.994857,0.64319,0.0265351,1324.45,
audio,80,2,18,24,1.00013,0.994875,0.59206,0.0274055,1324.45,
audio,90,2,18,24,1.00014,0.993444,0.53584,0.0282708,1324.45,
audio,100,2,18,24,1.00014,0.9942,0.56482,0.0291439,1324.45,
audio,100,2,18,0,1.00027,0.9896,0.38949,0.0263499,1324.45,
audio,1,2,18,24,1,1,0.42384,0.0203316,1324.45,
audio,10,2,18,24,1.00006,0.997,0.38265,0.0211636,1324.45,
audio,20,2,18,24,1.00011,0.995,0.40626,0.0220544,1324.45,
audio,30,2,18,24,1.00014,0.995333,0.41474,0.0230081,1324.45,
audio,40,2,18,24,1.00014,0.995,0.47422,0.023891,1324.45,
audio,50,2,18,24,1.00016,0.9936,0.47206,0.0247709,1324.45,
audio,60,2,18,24,1.00016,0.994333,0.53847,0.0256233,1324.45,
audio,70,2,18,24,1.00015,0.994571,0.6255,0.0264827,1324.45,
audio,80,2,18,24,1.00015,0.995,0.59555,0.0273394,1324.45,
audio,90,2,18,24,1.00015,0.994222,0.58237,0.0282129,1324.45,
audio,100,2,18,24,1.00015,0.9945,0.55022,0.029107,1324.45,
audio,100,2,18,0,1.00027,0.99,0.43322,0.0262879,1324.45,
audio,50,2,18,0,1.00014,0.9928,0.42705,0.0263159,1324.45,
audio,1,2,18,24,1,1,0.38341,0.02032,1324.45,
audio,10,2,18,24,1.00006,0.998,0.46525,0.0211494,1324.45,
audio,20,2,18,24,1.00009,0.9965,0.4507,0.022076,1324.45,
audio,30,2,18,24,1.0001,0.996667,0.48983,0.022976,1324.45,
audio,40,2,18,24,1.00009,0.9965,0.52122,0.0238696,1324.45,
audio,50,2,18,24,1.00011,0.995,0.49114,0.0247375,1324.45,
audio,60,2,18,24,1.00012,0.995167,0.53088,0.0256148,1324.45,
audio,70,2,18,24,1.00012,0.995143,0.53418,0.0264538,1324.45,
audio,80,2,18,24,1.00013,0.99525,0.55471,0.0273278,1324.45,
audio,90,2,18,24,1.00014,0.994778,0.5518,0.0282057,1324.45,
audio,100,2,18,24,1.00013,0.9949,0.52565,0.0290852,1324.45,
audio,100,2,18,0,1.00026,0.9905,0.45941,0.026229,1324.45,
audio,1,2,18,24,1,1,0.37746,0.0203783,1324.45,
audio,10,2,18,24,1.0001,0.997,0.38676,0.0212121,1324.45,
audio,20,2,18,24,1.00013,0.9955,0.40564,0.0221444,1324.45,
audio,30,2,18,24,1.00014,0.995,0.43017,0.0230518,1324.45,
audio,40,2,18,24,1.00018,0.99275,0.45312,0.0239522,1324.45,
audio,50,2,18,24,1.00018,0.993,0.53771,0.0248034,1324.45,
audio,60,2,18,24,1.00019,0.9935,0.46574,0.0256905,1324.45,
audio,70,2,18,24,1.00017,0.994286,0.49946,0.0265267,1324.45,
audio,80,2,18,24,1.00015,0.995,0.59764,0.0273717,1324.45,
audio,90,2,18,24,1.00015,0.994111,0.48727,0.0282368,1324.45,
audio,100,2,18,24,1.00016,0.9939,0.51748,0.0291131,1324.45,
audio,100,2,18,0,1.00027,0.9902,0.48401,0.0263253,1324.45,
audio,1,2,18,24,1,1,0.37134,0.0203281,1324.45,
audio,10,2,18,24,1.00006,0.998,0.46673,0.0211396,1324.45,
audio,20,2,18,24,1.00012,0.993,0.4386,0.02204,1324.45,
audio,30,2,18,24,1.00017,0.994333,0.41677,0.0229956,1324.45,
audio,40,2,18,24,1.00018,0.99375,0.46824,0.0239015,1324.45,
audio,50,2,18,24,1.0002,0.993,0.51719,0.0247463,1324.45,
audio,60,2,18,24,1.00021,0.993167,0.47273,0.0256388,1324.45,
audio,70,2,18,24,1.0002,0.993857,0.50962,0.0264849,1324.45,
audio,80,2,18,24,1.0002,0.994,0.5471,0.0273202,1324.45,
audio,90,2,18,24,1.00019,0.993111,0.62102,0.0281911,1324.45,
audio,100,2,18,24,1.00019,0.9933,0.67837,0.0290507,1324.45,
audio,100,2,18,0,1.00032,0.9895,0.39404,0.0263155,1324.45,
audio,50,2,18,0,1.00009,0.9948,0.42473,0.0263222,1324.45,
audio,1,2,18,24,1,1,0.40887,0.0203433,1324.45,
audio,10,2,18,24,1.00005,0.998,0.40937,0.0211547,1324.45,
audio,20,2,18,24,1.00007,0.996,0.44166,0.0220617,1324.45,
audio,30,2,18,24,1.00009,0.995667,0.40417,0.0230059,1324.45,
audio,40,2,18,24,1.00011,0.99575,0.46864,0.0238511,1324.45,
audio,50,2,18,24,1.00013,0.9944,0.45045,0.0247362,1324.45,
audio,60,2,18,24,1.00012,0.995667,0.46958,0.0256458,1324.45,
audio,70,2,18,24,1.00012,0.995143,0.49386,0.0265189,1324.45,
audio,80,2,18,24,1.00014,0.994875,0.51083,0.0273708,1324.45,
audio,90,2,18,24,1.00015,0.994111,0.54353,0.0282461,1324.45,
audio,100,2,18,24,1.00016,0.9942,0.508,0.0291059,1324.45,
audio,100,2,18,0,1.00024,0.9903,0.38926,0.026303,1324.45,
audio,1,2,18,24,1,1,0.40895,0.0203388,1324.45,
audio,10,2,18,24,1,1,0.49785,0.0211636,1324.45,
audio,20,2,18,24,1.00004,0.9955,0.51661,0.022063,1324.45,
audio,30,2,18,24,1.0001,0.995,0.41361,0.0230094,1324.45,
audio,40,2,18,24,1.00013,0.9955,0.47529,0.0238873,1324.45,
audio,50,2,18,24,1.00012,0.995,0.47017,0.0247593,1324.45,
audio,60,2,18,24,1.00014,0.9955,0.51496,0.0256072,1324.45,
audio,70,2,18,24,1.00012,0.995714,0.51476,0.0264591,1324.45,
audio,80,2,18,24,1.00013,0.995375,0.50587,0.0273152,1324.45,
audio,90,2,18,24,1.00012,0.995111,0.52167,0.0281619,1324.45,
audio,100,2,18,24,1.00011,0.9954,0.52914,0.0290477,1324.45,
audio,100,2,18,0,1.00021,0.992,0.44698,0.026332,1324.45,
audio,1,2,18,24,1,1,0.39491,0.0203722,1324.45,
audio,10,2,18,24,1.00005,0.998,0.36172,0.0211929,1324.45,
audio,20,2,18,24,1.00008,0.9965,0.39892,0.0221014,1324.45,
audio,30,2,18,24,1.0001,0.995667,0.4209,0.0230085,1324.45,
audio,40,2,18,24,1.00012,0.99625,0.41352,0.0239096,1324.45,
audio,50,2,18,24,1.00013,0.9944,0.44412,0.0247177,1324.45,
audio,60,2,18,24,1.00013,0.994833,0.50923,0.0255929,1324.45,
audio,70,2,18,24,1.00013,0.995143,0.56991,0.0264755,1324.45,
audio,80,2,18,24,1.00013,0.994875,0.49275,0.0273093,1324.45,
audio,90,2,18,24,1.00013,0.995111,0.56044,0.0281735,1324.45,
audio,100,2,18,24,1.00014,0.9949,0.53558,0.0290507,1324.45,
audio,100,2,18,0,1.00026,0.9906,0.4269,0.026243,1324.45,
audio,50,2,18,0,1.00012,0.9946,0.40423,0.0263598,1324.45,
audio,1,2,18,24,1,1,0.39713,0.0203663,1324.45,
audio,10,2,18,24,1.00005,0.998,0.38074,0.0211881,1324.45,
audio,20,2,18,24,1.00006,0.9965,0.40658,0.0220898,1324.45,
audio,30,2,18,24,1.00007,0.996667,0.39741,0.0230312,1324.45,
audio,40,2,18,24,1.00009,0.99575,0.45528,0.0239142,1324.45,
audio,50,2,18,24,1.0001,0.995,0.47546,0.0247749,1324.45,
audio,60,2,18,24,1.0001,0.995667,0.47028,0.0256453,1324.45,
audio,70,2,18,24,1.0001,0.995714,0.51249,0.026508,1324.45,
audio,80,2,18,24,1.00011,0.99575,0.56739,0.027349,1324.45,
audio,90,2,18,24,1.00012,0.994556,0.51584,0.0282444,1324.45,
audio,100,2,18,24,1.00011,0.9947,0.53568,0.0291142,1324.45,
audio,100,2,18,0,1.00022,0.9902,0.39585,0.0263489,1324.45,
audio,1,2,18,24,1,1,0.36216,0.0203447,1324.46,
audio,10,2,18,24,1.00007,0.998,0.42634,0.0211514,1324.46,
audio,20,2,18,24,1.0001,0.9945,0.42013,0.0220542,1324.46,
audio,30,2,18,24,1.00011,0.995333,0.42814,0.0229943,1324.46,
audio,40,2,18,24,1.00011,0.99525,0.44251,0.0239244,1324.46,
audio,50,2,18,24,1.00013,0.9938,0.51511,0.0247947,1324.46,
audio,60,2,18,24,1.00014,0.994,0.48489,0.0256713,1324.46,
audio,70,2,18,24,1.00014,0.994,0.51332,0.0265429,1324.46,
audio,80,2,18,24,1.00015,0.99425,0.75184,0.0273654,1324.46,
audio,90,2,18,24,1.00015,0.994111,0.53052,0.028264,1324.46,
audio,100,2,18,24,1.00016,0.9942,0.51171,0.0291171,1324.46,
audio,100,2,18,0,1.00024,0.9907,0.44068,0.0263111,1324.46,
audio,1,2,18,24,1.0006,0.99,0.27346,0.0203316,1324.46,
audio,10,2,18,24,1.00021,0.998,0.2867,0.0211372,1324.46,
audio,20,2,18,24,1.00015,0.9975,0.29287,0.0220686,1324.46,
audio,30,2,18,24,1.00013,0.996333,0.31558,0.0229828,1324.46,
audio,40,2,18,24,1.00014,0.99575,0.32056,0.0238867,1324.46,
audio,50,2,18,24,1.00015,0.995,0.32939,0.0247652,1324.46,
audio,60,2,18,24,1.00015,0.9955,0.34498,0.0255986,1324.46,
audio,70,2,18,24,1.00015,0.995286,0.35998,0.0264652,1324.46,
audio,80,2,18,24,1.00014,0.995125,0.37974,0.0273383,1324.46,
audio,90,2,18,24,1.00014,0.994444,0.38206,0.0282147,1324.46,
audio,100,2,18,24,1.00015,0.9946,0.40187,0.029081,1324.46,
audio,100,2,18,0,1.00025,0.9912,0.37348,0.026267,1324.46,
audio,50,2,18,0,1.00013,0.9942,0.36973,0.0262668,1324.46,
audio,1,2,18,24,1,1,0.33747,0.0203626,1324.46,
audio,10,2,18,24,1.00001,0.999,0.41131,0.02118,1324.46,
audio,20,2,18,24,1.00004,0.996,0.38845,0.0220697,1324.46,
audio,30,2,18,24,1.00005,0.997,0.40731,0.0230181,1324.46,
audio,40,2,18,24,1.00006,0.99575,0.42143,0.0238952,1324.46,
audio,50,2,18,24,1.00008,0.9948,0.42825,0.0247631,1324.46,
audio,60,2,18,24,1.0001,0.995,0.44604,0.0256263,1324.46,
